nct_id,rule_id,rule_type,type,identifier,field,operator,value,unit,raw_text,confidence,parsing_timestamp,condition
NCT06819228,inc001,inclusion,condition,"[""general""]",condition,=,,,* Willing to review and sign written informed consent.,0.85,2025-11-22T23:51:19.045890,cancer
NCT06819228,inc002,inclusion,demographic,"[""age""]",age,=,18,years,Male or female patients age \> 18 years.,0.85,2025-11-22T23:51:19.045943,cancer
NCT06819228,inc003,inclusion,condition,"[""general""]",condition,=,,,Tissue confirmation of head and neck squamous cell carcinoma.,0.85,2025-11-22T23:51:19.045947,cancer
NCT06819228,inc004,inclusion,condition,"[""general""]",condition,=,,,Patients for whom a potentially curative resection is planned as standard of care.,0.85,2025-11-22T23:51:19.045951,cancer
NCT06819228,inc005,inclusion,condition,"[""general""]",condition,=,,,ECOG performance status of 0 or 1,0.85,2025-11-22T23:51:19.045953,cancer
NCT06819228,inc006,inclusion,demographic,"[""age""]",age,=,,,"Adequate hematologic and end-organ function appropriate for surgery as determined by routine preoperative evaluation. If liver function, renal function and hematologic laboratory test results are acceptable for elective surgery, the patient is considered eligible for the study. Laboratory results that will need to be obtained within 30 days prior to initiation of study treatment: Magnesium, Phosphorus, serum pregnancy test (for females of childbearing age).",0.85,2025-11-22T23:51:19.045961,cancer
NCT06819228,inc007,inclusion,condition,"[""general""]",condition,=,,,For women of childbearing potential: Agreement to remain abstinent (refrain from heterosexual intercourse) or use contraceptive methods as defined below:,0.85,2025-11-22T23:51:19.045965,cancer
NCT06819228,inc008,inclusion,condition,"[""general""]",condition,=,,,"A woman is considered to be of childbearing potential if she is post-menarchal, has not reached a postmenopausal state (12 continuous months of amenorrhea with no identified cause other than menopause), and has not undergone surgical sterilization (removal of the uterus and/or both ovaries and/or both fallopian tubes). Post-menarchal is defined as either:",0.85,2025-11-22T23:51:19.045976,cancer
NCT06819228,inc009,inclusion,demographic,"[""age""]",age,=,55,years,age \>55 years old,0.85,2025-11-22T23:51:19.045979,cancer
NCT06819228,inc010,inclusion,demographic,"[""age""]",age,=,55,years,age \<55 years or less and,0.85,2025-11-22T23:51:19.045982,cancer
NCT06819228,inc011,inclusion,condition,"[""general""]",condition,=,,,"at least 12 months since last menstrual period,",0.85,2025-11-22T23:51:19.045985,cancer
NCT06819228,inc012,inclusion,condition,"[""general""]",condition,=,,,at least 6 months since last menstrual period and FSH \> 40 IU,0.85,2025-11-22T23:51:19.045988,cancer
NCT06819228,inc013,inclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,Women of childbearing potential must have a negative pregnancy test result within 14 days prior to initiation of study treatment.,0.85,2025-11-22T23:51:19.045991,cancer
NCT06819228,inc014,inclusion,condition,"[""general""]",condition,=,,,Women must remain abstinent or use effective contraceptive methods during the treatment period and for 5 months after the final dose of panitumumab.,0.85,2025-11-22T23:51:19.045995,cancer
NCT06819228,inc015,inclusion,condition,"[""general""]",condition,=,,,Men must agree to remain abstinent or use a condom during the treatment period and for 5 months after the final dose of panitumumab/pan800 to avoid exposing the embryo. Men must agree to refrain from donating sperm during this same period.,0.85,2025-11-22T23:51:19.046000,cancer
NCT06819228,exc001,exclusion,condition,"[""general""]",condition,=,,,* Patients not eligible for standard of care surgical resection,0.85,2025-11-22T23:51:19.046011,cancer
NCT06819228,exc002,exclusion,condition,"[""general""]",condition,=,,,Patients with a history of infusion reactions or allergic reactions to panitumumab.,0.85,2025-11-22T23:51:19.046014,cancer
NCT06819228,exc003,exclusion,condition,"[""general""]",condition,=,,,"History of idiopathic pulmonary fibrosis, organizing pneumonia (e.g., bronchiolitis obliterans), drug-induced pneumonitis, or idiopathic pneumonitis, or evidence of active pneumonitis on screening chest computed tomography (CT) scan.",0.85,2025-11-22T23:51:19.046019,cancer
NCT06819228,exc004,exclusion,condition,"[""general""]",condition,=,,,History of radiation pneumonitis in the radiation field (fibrosis) is permitted.,0.85,2025-11-22T23:51:19.046022,cancer
NCT06819228,exc005,exclusion,condition,"[""general""]",condition,=,,,Active tuberculosis. Patients do NOT have to be screened for tuberculosis for this trial.,0.85,2025-11-22T23:51:19.046025,cancer
NCT06819228,exc006,exclusion,condition,"[""general""]",condition,=,,,"Significant cardiovascular disease (such as New York Heart Association Class II or greater cardiac disease, myocardial infarction, or cerebrovascular accident) within 3 months prior to initiation of study treatment, unstable arrhythmia, or unstable angina.",0.85,2025-11-22T23:51:19.046031,cancer
NCT06819228,exc007,exclusion,condition,"[""general""]",condition,=,,,History of severe allergic anaphylactic reactions to chimeric or humanized antibodies or fusion proteins.,0.85,2025-11-22T23:51:19.046034,cancer
NCT06819228,exc008,exclusion,demographic,"[""age""]",age,=,,,"Patients receiving Class IA (quinidine, procainamide) or Class III (dofetilide, amiodarone, sotalol) antiarrhythmic agents. The following drugs are known to interact with panitumumab and therefore any patients taking these medications within 30 days will be ineligible for the trial.",0.85,2025-11-22T23:51:19.046039,cancer
NCT06819228,exc009,exclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,"Pregnancy or breastfeeding, or intention of becoming pregnant during study treatment or within 5 months after the final dose of study treatment.",0.85,2025-11-22T23:51:19.046042,cancer
NCT06819228,exc010,exclusion,condition,"[""general""]",condition,=,,,"Magnesium or phosphorus lower than normal institutional values, patient is symptomatic, and the values are unable to be corrected through standard repletion strategies.",0.85,2025-11-22T23:51:19.046046,cancer
NCT06819228,exc011,exclusion,condition,"[""general""]",condition,=,,,Evidence of QT prolongation on pretreatment ECG.,0.85,2025-11-22T23:51:19.046048,cancer
NCT06450353,inc001,inclusion,demographic,"[""age""]",age,>=,18,years,1. ≥ 18 years of age.,0.85,2025-11-22T23:51:19.046095,cancer
NCT06450353,inc002,inclusion,condition,"[""general""]",condition,=,,,Candidate for allogeneic transplantation,0.85,2025-11-22T23:51:19.046098,cancer
NCT06450353,exc001,exclusion,condition,"[""general""]",condition,=,,,1\) Allogeneic stem cell transplantation not medically indicated.,0.85,2025-11-22T23:51:19.046125,cancer
NCT05775939,inc001,inclusion,condition,"[""general""]",condition,=,,,* Provide signed and dated informed consent form,0.85,2025-11-22T23:51:19.046146,cancer
NCT05775939,inc002,inclusion,condition,"[""general""]",condition,=,,,Willing to comply with all study procedures and be available for the duration of the study,0.85,2025-11-22T23:51:19.046149,cancer
NCT05775939,inc003,inclusion,demographic,"[""age""]",age,=,,,"Male or female, aged \>= 18",0.85,2025-11-22T23:51:19.046151,cancer
NCT05775939,inc004,inclusion,condition,"[""general""]",condition,=,,,Life expectancy \>= 3 months as assessed by Radiation Oncologist,0.85,2025-11-22T23:51:19.046154,cancer
NCT05775939,inc005,inclusion,condition,"[""general""]",condition,=,,,Mean heart dose estimated by Radiation Oncologist to be \>= 5 Gy (physics dose or biologically equivalent dose),0.85,2025-11-22T23:51:19.046158,cancer
NCT05775939,inc006,inclusion,demographic,"[""age""]",age,=,,,Pathologically proven (either histologic or cytologic) proven lung cancer or esophageal cancer,0.85,2025-11-22T23:51:19.046161,cancer
NCT05775939,inc007,inclusion,demographic,"[""age""]",age,=,,,Planned radiation treatment course for management of lung or esophageal cancer \* Both standard and hypofractionation schedules are permitted,0.85,2025-11-22T23:51:19.046163,cancer
NCT05775939,exc001,exclusion,condition,"[""general""]",condition,=,,,* Contraindication for FDG PET-CT scans as assessed by the radiation oncologist or nuclear medicine radiologist,0.85,2025-11-22T23:51:19.046170,cancer
NCT05775939,exc002,exclusion,condition,"[""general""]",condition,=,,,Palliative radiation doses defined as 20 Gy in 5 fractions,0.85,2025-11-22T23:51:19.046173,cancer
NCT04380831,inc001,inclusion,condition,"[""general""]",condition,=,,,* Karnofsky performance status (KPS) \>= 70,0.85,2025-11-22T23:51:19.046191,cancer
NCT04380831,inc002,inclusion,condition,"[""general""]",condition,=,,,Systemic sclerosis patients evaluated within 30 days of start of conditioning regimen who would be candidates for TBI-cyclophosphamide (Cy) per City of Hope (COH) guidelines and standard operating procedures (SOP) for autologous hematopoietic cell transplant,0.85,2025-11-22T23:51:19.046196,cancer
NCT04380831,inc003,inclusion,condition,"[""general""]",condition,=,,,Patients must be suitable for TBI conditioning regimens as part of transplant per radiation the referring hematologist,0.85,2025-11-22T23:51:19.046200,cancer
NCT04380831,inc004,inclusion,condition,"[""general""]",condition,=,,,Patients must have adequate organ function for HCT as determined by the hematologist,0.85,2025-11-22T23:51:19.046203,cancer
NCT04380831,inc005,inclusion,condition,"[""general""]",condition,=,,,Women of child-bearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control or abstinence) prior to study entry and for six months following duration of study participation,0.85,2025-11-22T23:51:19.046208,cancer
NCT04380831,inc006,inclusion,condition,"[""general""]",condition,=,,,All subjects must have the ability to understand the treatment and the willingness to sign a written informed consent,0.85,2025-11-22T23:51:19.046211,cancer
NCT04380831,exc001,exclusion,condition,"[""general""]",condition,=,,,* Patients should not have any uncontrolled illness including ongoing or active infection,0.85,2025-11-22T23:51:19.046216,cancer
NCT04380831,exc002,exclusion,condition,"[""general""]",condition,=,,,Prior history of radiation therapy must be presented to study principal investigator (PI) for eligibility determination,0.85,2025-11-22T23:51:19.046220,cancer
NCT04380831,exc003,exclusion,demographic,"[""age""]",age,=,,,Pregnant women are excluded from this study because total body irradiation is an agent with the potential for teratogenic or abortifacient effects,0.85,2025-11-22T23:51:19.046223,cancer
NCT04380831,exc004,exclusion,condition,"[""general""]",condition,=,,,"Subjects, who in the opinion of the investigator, may not be able to comply with the safety monitoring requirements of the study",0.85,2025-11-22T23:51:19.046226,cancer
NCT06053567,inc001,inclusion,demographic,"[""age""]",age,=,,,* Adult (age ≥ 18);,0.85,2025-11-22T23:51:19.046242,cancer
NCT06053567,inc002,inclusion,condition,"[""general""]",condition,=,,,High Anxiety Sensitivity (≥5 on the Short Scale Anxiety Sensitivity Index \[SSASI\]);,0.85,2025-11-22T23:51:19.046246,cancer
NCT06053567,inc003,inclusion,condition,"[""general""]",condition,=,,,"Daily smoker, ≥5 cigarettes (including e-cigarettes, little cigars/cigarillos) for ≥1 year;",0.85,2025-11-22T23:51:19.046249,cancer
NCT06053567,inc004,inclusion,condition,"[""general""]",condition,=,,,Motivated to quit smoking as evidenced by a score of ≥5 on a 0-10 Likert scale;,0.85,2025-11-22T23:51:19.046253,cancer
NCT06053567,inc005,inclusion,condition,"[""general""]",condition,=,,,Body mass index \&lt;40;,0.85,2025-11-22T23:51:19.046255,cancer
NCT06053567,inc006,inclusion,condition,"[""general""]",condition,=,,,Medical clearance to participate.,0.85,2025-11-22T23:51:19.046258,cancer
NCT06053567,inc007,inclusion,condition,"[""general""]",condition,=,,,Located near a participating YMCA site (within 50 miles),0.85,2025-11-22T23:51:19.046260,cancer
NCT06053567,exc001,exclusion,condition,"[""general""]",condition,=,,,* Regular exercise defined as engaging in vigorous-intensity exercise for at least 75 minutes per week for the last 3 months,0.85,2025-11-22T23:51:19.046266,cancer
NCT06053567,exc002,exclusion,condition,"[""general""]",condition,=,,,Receiving current intervention for smoking cessation.,0.85,2025-11-22T23:51:19.046268,cancer
NCT06053567,exc003,exclusion,condition,"[""general""]",condition,=,,,Outstanding debt to the YMCA,0.85,2025-11-22T23:51:19.046271,cancer
NCT06053567,exc004,exclusion,condition,"[""general""]",condition,=,,,Listed as a sex offender on the National Sex Offender Registry,0.85,2025-11-22T23:51:19.046274,cancer
NCT03875729,inc001,inclusion,demographic,"[""age""]",age,=,17,years,"1. Is 8 to 17 years of age, inclusive, at the time of randomization/initiation of study drug administration.",0.85,2025-11-22T23:51:19.049657,diabetes
NCT03875729,inc002,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,Has received a diagnosis of type 1 diabetes (T1D) according to the criteria from the American Diabetes Association.,0.85,2025-11-22T23:51:19.049667,diabetes
NCT03875729,inc003,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,Is able to be randomized and initiate study drug within 6 weeks (42 days) of the formal T1D diagnosis.,0.85,2025-11-22T23:51:19.049670,diabetes
NCT03875729,inc004,inclusion,condition,"[""general""]",condition,=,,,Has a peak stimulated C-peptide of ≥0.2 pmol/mL from a mixed meal tolerance test (MMTT) at screening.,0.85,2025-11-22T23:51:19.049675,diabetes
NCT03875729,inc005,inclusion,condition,"[""general""]",condition,=,,,Has a positive result on testing for T1D-related autoantibodies.,0.85,2025-11-22T23:51:19.049678,diabetes
NCT03875729,exc001,exclusion,condition,"[""general""]",condition,=,,,1. Has any autoimmune disease other than T1D with the exception of stable thyroid or celiac disease.,0.85,2025-11-22T23:51:19.049686,diabetes
NCT03875729,exc002,exclusion,condition,"[""general""]",condition,=,,,Has an active infection and/or fever.,0.85,2025-11-22T23:51:19.049689,diabetes
NCT03875729,exc003,exclusion,condition,"[""general""]",condition,=,,,"Has a history of or serologic evidence at screening of current or past infection with human immunodeficiency virus (HIV), hepatitis B virus (HBV), or hepatitis C virus (HCV).",0.85,2025-11-22T23:51:19.049693,diabetes
NCT03875729,exc004,exclusion,condition,"[""general""]",condition,=,,,"An individual who has a medical, psychological or social condition that, in the opinion of the Principal Investigator, would interfere with safe and proper completion of the trial.",0.85,2025-11-22T23:51:19.049697,diabetes
NCT04333823,inc001,inclusion,condition,"[""general""]",condition,=,,,1. Capacity to consent; participants or their parents/legal guardians or responsible representatives must be willing and able to give signed informed consent. Participants without capacity must provide assent where applicable.,0.85,2025-11-22T23:51:19.049728,diabetes
NCT04333823,inc002,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,"Diagnosis of Type 1 Diabetes, defined by American Diabetes Association Criteria, for at least 12 months.",0.85,2025-11-22T23:51:19.049731,diabetes
NCT04333823,inc003,inclusion,demographic,"[""gender""]",gender,=,,,Sex: Male and Female.,0.85,2025-11-22T23:51:19.049732,diabetes
NCT04333823,inc004,inclusion,demographic,"[""age""]",age,=,12,years,Age: 12 years to \<19 years.,0.85,2025-11-22T23:51:19.049737,diabetes
NCT04333823,inc005,inclusion,demographic,"[""age""]",age,=,,,"HbA1c: 7.0-10 % at time of screening. Participants with a lower (6.5 to \<7.0%) or a higher HbA1c (\>10.0 to 11.0%) may be considered, based upon investigator discretion, if patient is adherent with study safety criteria, including a good understanding of diabetes management, regular and consistent blood glucose monitoring, appropriate ketone testing and DKA symptom recognition, appropriate adjustment of insulin doses for meals and activity as well as illness.",0.85,2025-11-22T23:51:19.049745,diabetes
NCT04333823,inc006,inclusion,condition,"[""general""]",condition,=,,,"On Insulin Therapy: Daily injections, to include TID (three times a day), multiple daily dose insulin injection (MDI, \> 3 injections daily) or Pump (CSII).",0.85,2025-11-22T23:51:19.049749,diabetes
NCT04333823,inc007,inclusion,condition,"[""general""]",condition,=,,,A minimum total daily dose (TDD) of insulin ≥0.6 Units/kilogram/day.,0.85,2025-11-22T23:51:19.049752,diabetes
NCT04333823,inc008,inclusion,demographic,"[""gender""]",gender,=,,,Females of child bearing potential must be willing to use medically acceptable contraception for the duration of the study and at least one week plus 30 days (one menstrual cycle) post last dose of study drug.,0.85,2025-11-22T23:51:19.049754,diabetes
NCT04333823,exc001,exclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,1. Pregnancy (positive serum or urine pregnancy test) or breastfeeding.,0.85,2025-11-22T23:51:19.049765,diabetes
NCT04333823,exc002,exclusion,condition,"[""general""]",condition,=,,,Allergies to any member of SGLT2i class of medications.,0.85,2025-11-22T23:51:19.049768,diabetes
NCT04333823,exc003,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,"Type 2 diabetes, Maturity onset Diabetes of Young (MODY) as defined by American Diabetes Association Criteria or pancreatic disorders with resultant impaired pancreatic function.",0.85,2025-11-22T23:51:19.049771,diabetes
NCT04333823,exc004,exclusion,demographic,"[""age""]",age,=,,,Body Mass Index \> 99.9th percentile by age and sex.,0.85,2025-11-22T23:51:19.049774,diabetes
NCT04333823,exc005,exclusion,condition,"[""general""]",condition,=,,,Presence of severe hypoglycemic event requiring assistance or glucagon rescue medication within 30 days of screening visit.,0.85,2025-11-22T23:51:19.049777,diabetes
NCT04333823,exc006,exclusion,condition,"[""general""]",condition,=,,,Presence of documented Diabetic Ketoacidosis (DKA) within 90 days of screening visit.,0.85,2025-11-22T23:51:19.049780,diabetes
NCT04333823,exc007,exclusion,condition,"[""general""]",condition,=,,,Current and/or anticipated adoption of a carbohydrate-restrictive diet,0.85,2025-11-22T23:51:19.049783,diabetes
NCT04333823,exc008,exclusion,condition,"[""general""]",condition,=,,,Current eating disorder or weight loss \>10% of body weight within 90 days of screening visit.,0.85,2025-11-22T23:51:19.049786,diabetes
NCT04333823,exc009,exclusion,condition,"[""general""]",condition,=,,,"Current and or/anticipated systemic corticosteroid therapy for greater than 5 days (not including inhaled, topical, eye or ear drops containing corticosteroids).",0.85,2025-11-22T23:51:19.049789,diabetes
NCT04333823,exc010,exclusion,condition,"[""general""]",condition,=,,,"Current or history of alcohol, drug or substance abuse.",0.85,2025-11-22T23:51:19.049792,diabetes
NCT04333823,exc011,exclusion,condition,"[""general""]",condition,=,,,Participation in another drug intervention study within the past 30 days.,0.85,2025-11-22T23:51:19.049795,diabetes
NCT04333823,exc012,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,"Presence of a clinically untreated or unstable medical condition (including diagnosed Hypertension, SBP\>95%) or laboratory finding that may interfere with any aspect of the study.",0.85,2025-11-22T23:51:19.049797,diabetes
NCT04333823,exc013,exclusion,condition,"[""general""]",condition,=,,,Any concomitant medication known to interfere with the investigational product and/or renal function and/or planned study assessments based on investigators' judgement.,0.85,2025-11-22T23:51:19.049801,diabetes
NCT04333823,exc014,exclusion,demographic,"[""age""]",age,=,,,"Unable to adhere with study safety criteria, in the investigator's opinion, including a suboptimal understanding of diabetes management that would include regular and consistent blood glucose monitoring, appropriate ketone testing and DKA symptom recognition, appropriate adjustment of insulin doses for meals and activity as well as illness",0.85,2025-11-22T23:51:19.049806,diabetes
NCT04333823,exc015,exclusion,condition,"[""general""]",condition,=,,,"Participants are not allowed to change their insulin administration method (injection to pump or vice versa) throughout the study period, nor change to hybrid or closed loop insulin pumps during the study period.",0.85,2025-11-22T23:51:19.049810,diabetes
NCT04333823,exc016,exclusion,condition,"[""general""]",condition,=,,,Known Hypersensitivity to Iohexol,0.85,2025-11-22T23:51:19.049813,diabetes
NCT06914895,inc001,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,* Have type 1 diabetes and on insulin treatment for at least one year prior to screening,0.85,2025-11-22T23:51:19.049829,diabetes
NCT06914895,inc002,inclusion,lab_value,"[""test""]",value,=,,,"Have an HbA1c value of 7.0% to 10.5% inclusive, at screening",0.85,2025-11-22T23:51:19.049832,diabetes
NCT06914895,inc003,inclusion,demographic,"[""bmi""]",bmi,=,,,Have a body mass index (BMI) of ≥25 kilograms per square meter (kg/m2) at screening,0.85,2025-11-22T23:51:19.049932,diabetes
NCT06914895,inc004,inclusion,condition,"[""general""]",condition,=,,,Are of stable weight for at least 90 days prior to screening and agree to not start an intensive diet or exercise program during the study,0.85,2025-11-22T23:51:19.049937,diabetes
NCT06914895,exc001,exclusion,lab_value,"[""test""]",value,=,,,* Have experienced two or more events requiring hospitalization due to poor glucose control (hyperglycemia or (diabetic ketoacidosis (DKA)) during the period of 180 days prior to screening and until randomization.,0.85,2025-11-22T23:51:19.049946,diabetes
NCT06914895,exc002,exclusion,condition,"[""general""]",condition,=,,,Have experienced one or more events of severe hypoglycemia during the period of 90 days prior to screening and until randomization.,0.85,2025-11-22T23:51:19.049949,diabetes
NCT06914895,exc003,exclusion,condition,"[""general""]",condition,=,,,Are currently receiving or planning to receive treatment for diabetic retinopathy and/or macular edema,0.85,2025-11-22T23:51:19.049953,diabetes
NCT06914895,exc004,exclusion,condition,"[""general""]",condition,=,,,Have had chronic or acute pancreatitis,0.85,2025-11-22T23:51:19.049955,diabetes
NCT06914895,exc005,exclusion,condition,"[""general""]",condition,=,,,"Have used any weight loss drugs or alternative remedies, including herbal or nutritional supplements, within 90 days prior to screening",0.85,2025-11-22T23:51:19.049958,diabetes
NCT07076199,inc001,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,* Diagnosed with type 1 diabetes mellitus greater than or equal to (≥) 1 year before screening.,0.85,2025-11-22T23:51:19.049978,diabetes
NCT07076199,inc002,inclusion,condition,"[""general""]",condition,=,,,Treated with multiple daily insulin injections (daily basal insulin analogue and bolus insulin analogue regimen) ≥ 6 months before screening.,0.85,2025-11-22T23:51:19.049982,diabetes
NCT07076199,inc003,inclusion,demographic,"[""age""]",age,=,,,"HbA1c from 7.0-10.0 percentage (%) (53.0-85.8 millimoles per mole (mmol/mol)), both inclusive, at screening confirmed by central laboratory analysis.",0.85,2025-11-22T23:51:19.049986,diabetes
NCT07076199,inc004,inclusion,lab_value,"[""test""]",value,=,,,"Ability and willingness to adhere to the protocol including performance of self-measured plasma glucose (SMPG) profiles, based on the investigator's judgement.",0.85,2025-11-22T23:51:19.049990,diabetes
NCT07076199,exc001,exclusion,condition,"[""general""]",condition,=,,,* Known or suspected hypersensitivity to study intervention(s) or related products.,0.85,2025-11-22T23:51:19.049997,diabetes
NCT07076199,exc002,exclusion,condition,"[""general""]",condition,=,,,Previous participation in this study. Participation is defined as signed informed consent.,0.85,2025-11-22T23:51:19.050000,diabetes
NCT07076199,exc003,exclusion,demographic,"[""gender""]",gender,=,,,"Female who is pregnant, breast-feeding or intends to become pregnant or is of childbearing potential and not using adequate contraceptive method.",0.85,2025-11-22T23:51:19.050001,diabetes
NCT07076199,exc004,exclusion,condition,"[""general""]",condition,=,,,"Exposure to an investigational medicinal product within 90 days or 5 half-lives of the investigational medicinal product (if known), whichever is longer, before screening.",0.85,2025-11-22T23:51:19.050005,diabetes
NCT07076199,exc005,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,"Any condition, except for conditions associated with type 1 diabetes mellitus, which in the investigator's opinion might jeopardise participant's safety or compliance with the protocol.",0.85,2025-11-22T23:51:19.050010,diabetes
NCT07076199,exc006,exclusion,lab_value,"[""test""]",value,=,,,"Anticipated initiation or anticipated change in concomitant medications (for more than 15 consecutive days) known to affect weight or glucose metabolism (e.g., treatment with thyroid hormones, or systemic corticosteroids).",0.85,2025-11-22T23:51:19.050014,diabetes
NCT07076199,exc007,exclusion,condition,"[""general""]",condition,=,,,Known hypoglycaemic unawareness as indicated by the Investigator according to Clarke's questionnaire question.,0.85,2025-11-22T23:51:19.050017,diabetes
NCT07076199,exc008,exclusion,condition,"[""general""]",condition,=,,,Recurrent severe hypoglycaemic episodes within the last year as judged by the investigator.,0.85,2025-11-22T23:51:19.050020,diabetes
NCT00004992,inc001,inclusion,lab_value,"[""test""]",value,=,,,* Impaired glucose tolerance (fasting plasma glucose 95-125 mg/dL and 2hr plasma glucose 140-199 mg/dL),0.85,2025-11-22T23:51:19.050033,diabetes
NCT00004992,inc002,inclusion,demographic,"[""bmi""]",bmi,=,24,kg/m2,BMI \>= 24 kg/m2,0.85,2025-11-22T23:51:19.050035,diabetes
NCT00004992,exc001,exclusion,condition,"[""general""]",condition,=,,,* Underlying disease likely to limit life span and/or increase risk of interventions,0.85,2025-11-22T23:51:19.050041,diabetes
NCT00004992,exc002,exclusion,condition,"[""general""]",condition,=,,,Conditions or behaviors likely to effect conduct of the DPP,0.85,2025-11-22T23:51:19.050044,diabetes
NCT00004992,exc003,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,Diabetes or disordered glucose metabolism,0.85,2025-11-22T23:51:19.050046,diabetes
NCT00004992,exc004,exclusion,condition,"[""general""]",condition,=,,,Suboptimally treated Thyroid disease,0.85,2025-11-22T23:51:19.050048,diabetes
NCT00004992,exc005,exclusion,condition,"[""general""]",condition,=,,,Fasting triglyceride level \< 600 mg/dl,0.85,2025-11-22T23:51:19.050051,diabetes
NCT00004992,exc006,exclusion,condition,"[""general""]",condition,=,,,Exclusions related to medications,0.85,2025-11-22T23:51:19.050053,diabetes
NCT04606420,inc001,inclusion,condition,"[""diagnosis""]",diagnosis,=,,,"* Current diagnosis of mild dementia or mild cognitive impairment due to Alzheimer's disease/process (McKhann and Albert criteria), with MoCA score above 17 (i.e., 18 or higher)",0.85,2025-11-22T23:51:19.051586,dementia
NCT04606420,inc002,inclusion,condition,"[""general""]",condition,=,,,Willingness and ability to participate in all aspects of the intervention,0.85,2025-11-22T23:51:19.051591,dementia
NCT04606420,inc003,inclusion,condition,"[""general""]",condition,=,,,Availability of spouse or caregiver who can provide collateral information and assist with study adherence,0.85,2025-11-22T23:51:19.051595,dementia
NCT04606420,exc001,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,* severe dementia,0.85,2025-11-22T23:51:19.051600,dementia
NCT04606420,exc002,exclusion,condition,"[""general""]",condition,=,,,physical disability that precludes regular exercise,0.85,2025-11-22T23:51:19.051602,dementia
NCT04606420,exc003,exclusion,condition,"[""diagnosis""]",diagnosis,=,,,"clear evidence for other causes of neurodegeneration or dementia, e.g., severe cerebrovascular disease, Parkinson's disease",0.85,2025-11-22T23:51:19.051605,dementia
NCT04606420,exc004,exclusion,condition,"[""general""]",condition,=,,,significant ongoing psychiatric or substance abuse problems,0.85,2025-11-22T23:51:19.051608,dementia
NCT03688126,inc001,inclusion,condition,"[""general""]",condition,=,,,"* Sedentary (not a regular exerciser, determined using the POINTER--modified Telephone Assessment of Physical Activity \[TAPA\]",0.85,2025-11-22T23:51:19.051669,dementia
NCT03688126,inc002,inclusion,condition,"[""general""]",condition,=,,,Low MIND Diet score (determined using the MIND Diet Screener),0.85,2025-11-22T23:51:19.051672,dementia
NCT03688126,inc003,inclusion,demographic,"[""age""]",age,=,,,"No cognitive impairment as per Telephone Interview for Cognitive Status (mTICS) score \>32 (includes adjustments for demographics such as age, education and race), the Clinical Dementia Rating Scale (CDR \<0.5), and the CDR-Sum of Boxes (CDR-SB \<1)",0.85,2025-11-22T23:51:19.051677,dementia
